16,30,60,120,160,192,336,288,480
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_string_str2ch0__,20470,31020,17290,16800,16500,15670,18140,20140,16850
1,m_string_ch12ch0__,11430,11990,9390,10120,10480,10030,10200,10970,10350
2,m_string_initc__,33920,34280,32540,32810,33780,32170,33110,36980,34370
3,m_string_initc1__,31190,32540,28750,29270,29660,29860,29960,30330,30010
4,m_string_clean__,20690,22740,18400,18950,20140,18780,19130,20170,19870
5,m_list_init__,103880,92690,74960,80970,80620,77440,79010,75260,82730
6,m_list_clean__,9190,13500,6140,6500,5830,5700,8920,5560,7350
7,m_list_nitem__,8490,20380,5880,2770,3150,2820,3270,3720,3290
8,m_list_index__,47550,43950,48580,42240,44900,44200,54060,51930,44270
9,m_list_get__,36410,36820,35950,35930,36730,33490,36770,37260,39600
10,m_traceback_gentracebackstring1_,40570,42880,38070,37920,39000,38840,39160,38590,39270
11,m_attrvect_lsize__,26510,40540,15590,13250,11630,11930,19210,13480,14730
12,m_attrvect_indexra__,29500,28950,28020,28070,27870,28660,30120,28440,29850
13,gptlstart_,820,1020,680,660,620,720,660,660,650
14,gptlstop_,8690,11820,4750,7240,5040,4920,7070,6450,6810
15,update_ll_hash,2420,1180,960,4210,1180,940,1290,840,12760
16,update_parent_info,610,900,1190,550,670,640,960,620,780
17,update_ptr,470,550,460,360,380,440,370,410,400
18,GPTLstart,2370,2790,2710,2180,2190,2380,2370,2180,1900
19,getentry,15080,10550,6340,5660,4680,4080,6120,4090,6550
20,update_stats,2270,1100,660,1430,570,1180,810,870,990
21,GPTLstop,8290,6560,5460,6990,4970,5120,7350,6710,7600
22,utr_mpiwtime,4980,8520,2830,4580,3880,2490,4790,3120,3620
23,esmf_basetimemod_esmf_basetimesum_,10430,9060,11070,9270,8540,8850,8730,8050,8510
24,esmf_basetimemod_esmf_basetimedifference_,4860,3620,3570,4010,3260,3710,3580,3180,2930
25,esmf_timeintervalmod_esmf_timeintervalget_,3870,4490,3990,3320,3950,3580,4370,4010,3210
26,esmf_timeintervalmod_esmf_timeintervalset_,8320,9130,8730,7160,7810,7420,7720,6770,9220
27,esmf_timeintervalmod_esmf_timeintervalsum_,6890,5560,4920,4300,4880,5690,5080,4120,4460
28,esmf_timeintervalmod_timeintchecknormalized_,3180,3990,3940,2950,2830,3500,3940,3170,3730
29,esmf_timemod_esmf_timeget_,14740,14000,18620,14040,13600,13000,13840,13480,14560
30,esmf_timemod_esmf_timeset_,8500,8560,9080,6540,5940,5930,7270,5360,6100
31,esmf_timemod_esmf_timecopy_,13910,7940,8720,10620,8320,7130,9320,8360,7790
32,mct_mod_mct_avect_vecmult_,4555450,2462010,1235680,648250,503820,444940,260200,294750,206630
33,perf_mod_t_barrierf_,160,140,140,150,120,130,140,110,130
34,esmf_alarmmod_esmf_alarmget_,13080,10960,9600,11230,10730,11300,10730,11260,10900
35,esmf_alarmmod_esmf_alarmisringing_,660,680,680,790,860,710,930,610,1040
36,esmf_clockmod_esmf_clockget_,19800,15360,17680,17500,17080,17000,16730,15490,16650
37,esmf_clockmod_esmf_clockgettimestep_,2630,1200,1460,1900,1720,2080,1520,1060,1380
38,normalize_basetime_,8040,6110,7040,6910,6940,5770,5470,5640,5700
39,normalize_time_,10280,7960,8850,7560,7720,6860,7120,7420,7880
40,normalize_timeint_,8650,7470,7300,6280,7120,7610,6830,6210,6330
41,timegetmonth_,24390,21430,31910,19970,18430,16790,17840,18900,21470
42,timegetdayofmonth_,6490,5830,5680,4940,5180,5460,5770,5170,5610
43,timeaddmonths_,3200,3840,3130,2720,3920,2240,3570,3040,3530
44,seccmp_,9290,8620,8640,7540,9190,8200,9270,6920,8280
45,c_esmc_basetimesum_,11200,9900,10770,8560,8640,7380,10050,8170,9320
46,c_esmc_basetimedec_,10000,6770,7830,7210,6260,7620,6740,5930,7050
47,c_esmc_basetimediff_,3290,4740,4310,3510,3870,3530,3620,2800,3330
48,shr_cal_mod_shr_cal_date2ymd_,1230,1500,1470,930,830,1000,960,680,740
49,shr_cal_mod_shr_cal_ymd2date_,1430,2170,1560,1350,1460,860,1560,1380,1060
50,seq_timemgr_mod_seq_timemgr_eclockgetdata_,22130,19660,17010,17580,14920,16290,13870,12260,16170
51,seq_timemgr_mod_seq_timemgr_alarmison_,53170,45550,41200,46320,44100,43520,49980,47700,51530
52,seq_timemgr_mod_seq_timemgr_etimeget_,6960,6540,7970,5630,5120,5460,4800,4430,4680
53,seq_timemgr_mod_seq_timemgr_esmfcodecheck_,9790,9400,8620,8080,8240,7350,7540,7150,7180
54,addps_,174230,94750,49890,28460,22070,19500,13560,15700,11190
55,barotr_,2504435650,1355651630,692334840,363711440,280717910,247740170,139913440,161943050,104941970
56,bclinc_,6925591250,3818280720,1903474560,926647730,679372750,591108320,326461550,396396450,250614980
57,turb_2_,10999226910,5368773700,2127531870,643858600,977346260,993093780,467497280,855833460,540715460
58,eplatidepend__,1583534460,790874990,304430580,90881250,137654500,142578180,65126950,122088770,77742720
59,formld_,55608160,25192220,8167720,2346670,3578140,3706450,1583540,2957630,1865370
60,interp1d_expabs_,154910,97010,21680,20630,96180,38230,9320,33790,16910
61,interp2d_expabs_,2594926380,1135441900,393338910,133838690,185602490,193871860,105124380,169914160,111965780
62,convadj_,1096793120,540656350,200714000,61840610,90465370,91753560,46485560,78609980,51173800
63,dens_,3715145190,1990932520,961848310,477538120,378570520,332549610,189950790,237276030,153076740
64,density_,154105750,82245470,38836400,17274190,15014110,14148570,7646570,11423080,7230970
65,energy_,6640150,4361320,1880060,992610,1986410,585690,382660,414070,260980
66,exchange_2d_,2291210,3191090,1933270,1115310,1151950,1163020,1054130,1468720,958140
67,exchange_3d_iso_,12532510,8983900,5663830,4216990,3837250,3780930,2748450,3406700,2552920
68,exchange_boundary_,91119460,70338830,64568440,54793690,84040160,87070420,46712660,82495810,56000990
69,exchange_2d_real_,594070,505400,394790,400530,454550,502080,396010,413120,346240
70,exch_boundary_,1245141310,882090050,505103270,352913810,280395200,275187120,214826090,225762060,182511580
71,fluxcpl_flux_cpl_,1196760,695480,1290140,204770,164780,155490,92330,1357140,77920
72,icesnow_,47213940,25871080,12941810,6966530,5245920,4157400,2452870,2815240,1830550
73,invtri_,697360680,345568980,119390320,35270970,53311310,53534500,25571790,45567600,29051580
74,isoadv_,616004170,335845240,169049180,90066470,67694580,58738380,32826980,41020320,25899290
75,isoflux_,2793559100,1514027870,757026260,394052480,295596470,254591220,135227810,165450750,102001180
76,isopyc_,3706360620,2020766570,1030871090,547538300,410817480,355206240,208334020,248874780,160407310
77,k1_3_,469408470,250137080,125582680,63990650,49813390,43360050,23502630,29986330,18913230
78,k2_3_,490532160,263804740,131588980,67960410,53215730,44473000,25027730,31337490,19099900
79,k3_123_,531728480,277347370,134698550,67444950,51878790,44789030,24283830,30224660,18649930
80,post_cpl_,5911370,4532900,3497450,2116450,2152290,1758280,2370520,3255010,2540300
81,readyc_,13913667880,7312594390,3437994260,1615747450,1291792270,1138023270,592933700,771657450,471888700
82,readyt_,4137126380,2253542620,1133011570,590093810,429974790,364588650,214445250,244789770,157186870
83,setbcx_,35424350,26777790,26101120,25562150,31325400,34616260,18657300,32582930,21607320
84,smuv_,24561170,33970390,17883710,15957100,17986940,18748880,13459120,17474310,12926860
85,smts_,653020,425120,519410,429610,373330,370450,222030,279430,198760
86,smz0_,9626170,7466950,7452390,6174740,8169320,9065470,5740240,8001480,6006640
87,ssaveins_,10033770,5828880,3915040,3659650,1941060,2398710,1468350,2440430,2645980
88,thermal_,1118543990,605625950,298981070,153775220,110848310,93258190,54424650,61762770,39315310
89,tracer_,2655876010,1448900050,727054580,380035310,284565480,245286410,138250670,165998310,105270460
90,upwell_,2948809990,1578323250,795504320,411209660,300637860,259167380,145203290,172454550,108364500
91,vinteg_,1703682610,931996660,477374190,252969270,188831170,162897180,95515130,113483010,73749150
92,accumm_,1990541100,1122486500,554870040,301285500,222485760,191083890,116790980,136194610,87113770
93,ocn_comp_mct_ocn_run_mct_,4540640,6901630,4830610,5321020,2062090,3208400,4733610,5719520,10730300
94,ocn_comp_mct_ocn_final_mct_,1540,1040,940,1080,790,1080,910,1070,900
95,ocn_comp_mct_ocn_import_mct_,2278300,1908190,1939520,380950,629890,367210,174210,915670,145240
96,ocn_comp_mct_ocn_export_mct_,372130,217940,88510,50190,35400,30850,22290,27470,18010
97,ocn_comp_mct_cleanup_,62110,50880,52950,40400,41200,42470,35360,35250,31660
98,ccsm_comp_mod_t_drvstartf_,3350,2910,2870,2650,2800,3450,2700,2810,2650
99,ccsm_comp_mod_t_drvstopf_,10090,5290,4630,4570,4760,3670,5910,4980,5170
100,MPI_Recv,697518360,893271710,1215413620,1268397260,1490333830,1632287430,1166600730,2271583960,1070839710
101,MPI_Send,101372540,127701800,304646790,256154230,434945090,94895820,124387480,443085660,306923250
102,MPI_Sendrecv,20571086930,15167430920,10607349870,7785877160,5538423520,4930352260,4309941380,5941649990,4771663660
103,MPI_Bcast,1579860,22466840,2197740,20634570,27444180,50133600,35635080,23486680,55978420
104,MPI_Reduce,10814680,147770,262680,1017850,1500300,2347210,680940,1113140,968690
105,MPI_Wtime,15000,9810,14380,8270,9180,7040,6740,6140,6990
106,mpi_bcast_,56390,55950,43020,18990,23390,20430,19640,21140,19600
107,mpi_reduce_,20150,19890,15830,15300,17800,24610,17580,15520,17470
108,mpi_recv_,62370430,48829120,46373530,38481220,58060760,63700970,32176500,60348960,41821300
109,mpi_send_,171382570,151718900,44015890,38755170,60557200,262507990,145395520,56619960,37440930
110,mpi_sendrecv_,22872740,21402420,19378120,19242510,19227900,20250360,19575450,19002110,18101840
